Speed: 0.211211, angle1: -0.176982, angle2: -0.280686, v1: -1.787845, v2: 1.906782, M1: -0.591443, M2: -0.301602
Speed: 0.215101, angle1: -0.194507, angle2: -0.259690, v1: -1.752487, v2: 2.099603, M1: -0.423779, M2: -0.140924
Speed: 0.217747, angle1: -0.211777, angle2: -0.235512, v1: -1.726993, v2: 2.417834, M1: -0.159508, M2: -0.048177
Speed: 0.219658, angle1: -0.217900, angle2: -0.210700, v1: -1.657352, v2: 2.481171, M1: 0.095370, M2: -0.056019
Speed: 0.221061, angle1: -0.217900, angle2: -0.185595, v1: -1.591309, v2: 2.510488, M1: 0.123300, M2: -0.046049
Speed: 0.222191, angle1: -0.217900, angle2: -0.158927, v1: -1.557855, v2: 2.666802, M1: 0.066473, M2: -0.010622
Speed: 0.223252, angle1: -0.217900, angle2: -0.131115, v1: -1.528714, v2: 2.781163, M1: 0.032651, M2: -0.017529
Speed: 0.224235, angle1: -0.217900, angle2: -0.103535, v1: -1.485883, v2: 2.758057, M1: 0.007597, M2: -0.050826
Speed: 0.225022, angle1: -0.217900, angle2: -0.075969, v1: -1.448945, v2: 2.756582, M1: 0.000000, M2: -0.043071
Speed: 0.225668, angle1: -0.217900, angle2: -0.047530, v1: -1.426878, v2: 2.843917, M1: 0.006634, M2: -0.016018
Speed: 0.226152, angle1: -0.217900, angle2: -0.018621, v1: -1.399308, v2: 2.890873, M1: 0.029411, M2: -0.019115
Speed: 0.226360, angle1: -0.217900, angle2: 0.009854, v1: -1.357086, v2: 2.847497, M1: 0.060292, M2: -0.034439
Speed: 0.226243, angle1: -0.217900, angle2: 0.037868, v1: -1.309971, v2: 2.801455, M1: 0.120553, M2: -0.023634
Speed: 0.225909, angle1: -0.217900, angle2: 0.066077, v1: -1.268221, v2: 2.820900, M1: 0.189582, M2: 0.006490
Speed: 0.225396, angle1: -0.217900, angle2: 0.094578, v1: -1.226398, v2: 2.850087, M1: 0.237763, M2: 0.020232
Speed: 0.224317, angle1: -0.217900, angle2: 0.122093, v1: -1.158669, v2: 2.751530, M1: 0.335650, M2: 0.006425
Speed: 0.222438, angle1: -0.217900, angle2: 0.147910, v1: -1.063262, v2: 2.581625, M1: 0.537057, M2: 0.022195
Speed: 0.220430, angle1: -0.217900, angle2: 0.173731, v1: -0.980761, v2: 2.582151, M1: 0.712340, M2: 0.096761
Speed: 0.218807, angle1: -0.217900, angle2: 0.201032, v1: -0.924419, v2: 2.730109, M1: 0.728371, M2: 0.142890
Speed: 0.215631, angle1: -0.217900, angle2: 0.226184, v1: -0.794364, v2: 2.515175, M1: 0.962661, M2: 0.090287
Speed: 0.211051, angle1: -0.217900, angle2: 0.247389, v1: -0.612863, v2: 2.120505, M1: 1.240212, M2: 0.088760
Speed: 0.207459, angle1: -0.217900, angle2: 0.269218, v1: -0.484298, v2: 2.182928, M1: 1.443481, M2: 0.240499
Speed: 0.204655, angle1: -0.217900, angle2: 0.294188, v1: -0.384029, v2: 2.496921, M1: 1.560523, M2: 0.325397
Speed: 0.198731, angle1: -0.217900, angle2: 0.315490, v1: -0.152588, v2: 2.130199, M1: 1.886253, M2: 0.201666
Speed: 0.191610, angle1: -0.216694, angle2: 0.330982, v1: 0.120563, v2: 1.549241, M1: 2.058462, M2: 0.178289
Speed: 0.186879, angle1: -0.213510, angle2: 0.346731, v1: 0.318429, v2: 1.574938, M1: 2.346125, M2: 0.392271
Speed: 0.185472, angle1: -0.209344, angle2: 0.367215, v1: 0.416609, v2: 2.048399, M1: 2.248370, M2: 0.521732
Speed: 0.180587, angle1: -0.202699, angle2: 0.383404, v1: 0.664462, v2: 1.618865, M1: 2.711723, M2: 0.388269
Speed: 0.174870, angle1: -0.193108, angle2: 0.391470, v1: 0.959107, v2: 0.806618, M1: 2.842656, M2: 0.330315
Speed: 0.174986, angle1: -0.182142, angle2: 0.401230, v1: 1.096622, v2: 0.976014, M1: 2.917294, M2: 0.622049
Speed: 0.179551, angle1: -0.170864, angle2: 0.417545, v1: 1.127762, v2: 1.631449, M1: 2.967546, M2: 0.807003
Speed: 0.180187, angle1: -0.157746, angle2: 0.427464, v1: 1.311828, v2: 0.991878, M1: 3.014641, M2: 0.520304
Speed: 0.180261, angle1: -0.142415, angle2: 0.428582, v1: 1.533108, v2: 0.111805, M1: 3.025347, M2: 0.453363
Speed: 0.186812, angle1: -0.126610, angle2: 0.432738, v1: 1.580495, v2: 0.415655, M1: 2.990717, M2: 0.763280
Speed: 0.197318, angle1: -0.111386, angle2: 0.444306, v1: 1.522436, v2: 1.156765, M1: 2.869209, M2: 0.903342
Speed: 0.201811, angle1: -0.094694, angle2: 0.447398, v1: 1.669205, v2: 0.309213, M1: 2.868152, M2: 0.507215
Speed: 0.205075, angle1: -0.076106, angle2: 0.440336, v1: 1.858815, v2: -0.706206, M1: 2.755710, M2: 0.405572
Speed: 0.215152, angle1: -0.057658, angle2: 0.437831, v1: 1.844760, v2: -0.250507, M1: 2.628614, M2: 0.761568
Speed: 0.228232, angle1: -0.040297, angle2: 0.444220, v1: 1.736103, v2: 0.638951, M1: 2.543047, M2: 0.899779
Speed: 0.233477, angle1: -0.021381, angle2: 0.439465, v1: 1.891642, v2: -0.475491, M1: 2.507863, M2: 0.375263
Speed: 0.238316, angle1: -0.000759, angle2: 0.424850, v1: 2.062183, v2: -1.461538, M1: 2.397315, M2: 0.336143
Speed: 0.249659, angle1: 0.019224, angle2: 0.416592, v1: 1.998265, v2: -0.825847, M1: 2.154964, M2: 0.718498
Speed: 0.261631, angle1: 0.038146, angle2: 0.415368, v1: 1.892209, v2: -0.122352, M1: 2.048187, M2: 0.750000
Speed: 0.267432, angle1: 0.058156, angle2: 0.404488, v1: 2.000999, v2: -1.088043, M1: 1.888580, M2: 0.283398
Speed: 0.272402, angle1: 0.079427, angle2: 0.384366, v1: 2.127121, v2: -2.012192, M1: 1.695512, M2: 0.213438
Speed: 0.281457, angle1: 0.099984, angle2: 0.368969, v1: 2.055669, v2: -1.539705, M1: 1.464447, M2: 0.529621
Speed: 0.290891, angle1: 0.118941, angle2: 0.361888, v1: 1.895691, v2: -0.708116, M1: 1.197136, M2: 0.600411
Speed: 0.294523, angle1: 0.138668, angle2: 0.345112, v1: 1.972715, v2: -1.677556, M1: 1.014056, M2: 0.091480
Speed: 0.297298, angle1: 0.159257, angle2: 0.319313, v1: 2.058881, v2: -2.579905, M1: 0.776765, M2: 0.024307
Speed: 0.302478, angle1: 0.178681, angle2: 0.298523, v1: 1.942441, v2: -2.078989, M1: 0.519168, M2: 0.333408
Speed: 0.306739, angle1: 0.196239, angle2: 0.285528, v1: 1.755773, v2: -1.299544, M1: 0.257587, M2: 0.370700
Speed: 0.306920, angle1: 0.214063, angle2: 0.264243, v1: 1.782361, v2: -2.128488, M1: 0.019317, M2: -0.097018
Speed: 0.306202, angle1: 0.217900, angle2: 0.234659, v1: 1.817756, v2: -2.958387, M1: -0.233967, M2: -0.172970
Speed: 0.306714, angle1: 0.217900, angle2: 0.207651, v1: 1.714797, v2: -2.700784, M1: -0.215028, M2: 0.093766
Speed: 0.307111, angle1: 0.217900, angle2: 0.187161, v1: 1.559702, v2: -2.048962, M1: -0.139640, M2: 0.205479
Speed: 0.306384, angle1: 0.217900, angle2: 0.162289, v1: 1.569155, v2: -2.487246, M1: -0.081006, M2: -0.069497
Speed: 0.305809, angle1: 0.217900, angle2: 0.130273, v1: 1.635326, v2: -3.201643, M1: -0.035337, M2: -0.146209
Speed: 0.305757, angle1: 0.217900, angle2: 0.100318, v1: 1.574327, v2: -2.995460, M1: -0.009029, M2: 0.087112
Speed: 0.305189, angle1: 0.217900, angle2: 0.077056, v1: 1.440267, v2: -2.326221, M1: 0.000000, M2: 0.209535
Speed: 0.304426, angle1: 0.217900, angle2: 0.050676, v1: 1.447484, v2: -2.637963, M1: -0.008950, M2: -0.039260
Speed: 0.304032, angle1: 0.217900, angle2: 0.017809, v1: 1.510065, v2: -3.286685, M1: -0.033630, M2: -0.136390
Speed: 0.303092, angle1: 0.217900, angle2: -0.012863, v1: 1.442950, v2: -3.067203, M1: -0.081052, M2: 0.070815
Speed: 0.300947, angle1: 0.217900, angle2: -0.036641, v1: 1.295195, v2: -2.377851, M1: -0.143760, M2: 0.182529
Speed: 0.299444, angle1: 0.217900, angle2: -0.063095, v1: 1.281488, v2: -2.645342, M1: -0.223960, M2: -0.070385
Speed: 0.298403, angle1: 0.217900, angle2: -0.094867, v1: 1.306244, v2: -3.177262, M1: -0.321045, M2: -0.160780
Speed: 0.295894, angle1: 0.217900, angle2: -0.124339, v1: 1.210724, v2: -2.947205, M1: -0.435502, M2: 0.007688
Speed: 0.291752, angle1: 0.217900, angle2: -0.147375, v1: 1.040907, v2: -2.303582, M1: -0.554959, M2: 0.093901
Speed: 0.288799, angle1: 0.217900, angle2: -0.171870, v1: 0.977028, v2: -2.449487, M1: -0.712340, M2: -0.132494
