Speed: 0.184818, angle1: -0.070999, angle2: -0.676594, v1: -2.792332, v2: 4.541739, M1: -2.223809, M2: -0.077096
Speed: 0.196477, angle1: -0.098727, angle2: -0.628442, v1: -2.772760, v2: 4.815209, M1: -2.045117, M2: -0.053885
Speed: 0.208542, angle1: -0.126182, angle2: -0.577859, v1: -2.745548, v2: 5.058257, M1: -1.857509, M2: -0.033686
Speed: 0.220771, angle1: -0.153309, angle2: -0.525017, v1: -2.712647, v2: 5.284159, M1: -1.661395, M2: -0.010870
Speed: 0.232968, angle1: -0.180058, angle2: -0.470033, v1: -2.674891, v2: 5.498418, M1: -1.457035, M2: 0.013065
Speed: 0.245004, angle1: -0.206362, angle2: -0.413147, v1: -2.630422, v2: 5.688592, M1: -1.244650, M2: 0.033420
Speed: 0.256693, angle1: -0.232139, angle2: -0.354682, v1: -2.577754, v2: 5.846559, M1: -1.024693, M2: 0.051306
Speed: 0.267775, angle1: -0.257317, angle2: -0.294867, v1: -2.517736, v2: 5.981440, M1: -0.797815, M2: 0.071531
Speed: 0.278023, angle1: -0.281825, angle2: -0.233864, v1: -2.450814, v2: 6.100330, M1: -0.564629, M2: 0.094022
Speed: 0.287246, angle1: -0.305574, angle2: -0.171919, v1: -2.374884, v2: 6.194487, M1: -0.325751, M2: 0.114882
Speed: 0.295225, angle1: -0.328452, angle2: -0.109352, v1: -2.287836, v2: 6.256707, M1: -0.082059, M2: 0.134358
Speed: 0.301736, angle1: -0.350348, angle2: -0.046405, v1: -2.189624, v2: 6.294713, M1: 0.165312, M2: 0.156118
Speed: 0.306591, angle1: -0.371146, angle2: 0.016744, v1: -2.079739, v2: 6.314951, M1: 0.415172, M2: 0.179837
Speed: 0.309612, angle1: -0.390698, angle2: 0.079850, v1: -1.955212, v2: 6.310574, M1: 0.666231, M2: 0.201884
Speed: 0.310605, angle1: -0.408827, angle2: 0.142618, v1: -1.812948, v2: 6.276805, M1: 0.916856, M2: 0.222019
Speed: 0.309414, angle1: -0.425340, angle2: 0.204824, v1: -1.651298, v2: 6.220613, M1: 1.165056, M2: 0.242406
Speed: 0.305951, angle1: -0.440033, angle2: 0.266136, v1: -1.469260, v2: 6.131193, M1: 1.408626, M2: 0.261789
Speed: 0.300311, angle1: -0.452728, angle2: 0.326191, v1: -1.269492, v2: 6.005513, M1: 1.645220, M2: 0.284432
Speed: 0.292864, angle1: -0.463311, angle2: 0.384795, v1: -1.058316, v2: 5.860344, M1: 1.872711, M2: 0.316276
Speed: 0.284096, angle1: -0.471713, angle2: 0.441801, v1: -0.840227, v2: 5.700591, M1: 2.089560, M2: 0.355090
