Speed: 0.071853, angle1: -0.087017, angle2: -0.251485, v1: -1.127917, v2: 1.253161, M1: -0.303596, M2: -0.124054
Speed: 0.074003, angle1: -0.097810, angle2: -0.239067, v1: -1.079319, v2: 1.241813, M1: -0.112355, M2: -0.087463
Speed: 0.075324, angle1: -0.108491, angle2: -0.224175, v1: -1.068141, v2: 1.489238, M1: -0.024195, M2: 0.002506
Speed: 0.076410, angle1: -0.117900, angle2: -0.207442, v1: -1.045971, v2: 1.673286, M1: 0.101162, M2: 0.016133
Speed: 0.077482, angle1: -0.117900, angle2: -0.191242, v1: -0.985456, v2: 1.619968, M1: 0.218799, M2: -0.019156
Speed: 0.078279, angle1: -0.117900, angle2: -0.174120, v1: -0.958531, v2: 1.712222, M1: 0.144534, M2: 0.013754
Speed: 0.078949, angle1: -0.117900, angle2: -0.155049, v1: -0.956082, v2: 1.907042, M1: 0.099326, M2: 0.039238
Speed: 0.079785, angle1: -0.117900, angle2: -0.135556, v1: -0.937628, v2: 1.949359, M1: 0.071149, M2: 0.000044
Speed: 0.080682, angle1: -0.117900, angle2: -0.116640, v1: -0.909711, v2: 1.891568, M1: 0.031276, M2: -0.029579
Speed: 0.081455, angle1: -0.117900, angle2: -0.097214, v1: -0.900305, v2: 1.942593, M1: 0.016493, M2: -0.002563
Speed: 0.082202, angle1: -0.117900, angle2: -0.076322, v1: -0.908070, v2: 2.089224, M1: 0.003328, M2: 0.021828
Speed: 0.083007, angle1: -0.117900, angle2: -0.055210, v1: -0.898988, v2: 2.111204, M1: 0.000000, M2: -0.008868
Speed: 0.083763, angle1: -0.117900, angle2: -0.034904, v1: -0.874558, v2: 2.030555, M1: 0.003038, M2: -0.033985
Speed: 0.084436, angle1: -0.117900, angle2: -0.014547, v1: -0.861718, v2: 2.035764, M1: 0.017912, M2: -0.009450
Speed: 0.085120, angle1: -0.117900, angle2: 0.006921, v1: -0.864730, v2: 2.146773, M1: 0.028498, M2: 0.020268
Speed: 0.085718, angle1: -0.117900, angle2: 0.028348, v1: -0.848507, v2: 2.142674, M1: 0.060530, M2: -0.002838
Speed: 0.086149, angle1: -0.117900, angle2: 0.048708, v1: -0.815077, v2: 2.036015, M1: 0.083252, M2: -0.024851
Speed: 0.086435, angle1: -0.117900, angle2: 0.068510, v1: -0.782407, v2: 1.980199, M1: 0.160013, M2: 0.000277
Speed: 0.086800, angle1: -0.117900, angle2: 0.089171, v1: -0.768995, v2: 2.066115, M1: 0.196253, M2: 0.043394
Speed: 0.087036, angle1: -0.117900, angle2: 0.109936, v1: -0.742428, v2: 2.076529, M1: 0.232314, M2: 0.031529
Speed: 0.086918, angle1: -0.117900, angle2: 0.129139, v1: -0.688361, v2: 1.920239, M1: 0.266796, M2: -0.004695
Speed: 0.086347, angle1: -0.117900, angle2: 0.146313, v1: -0.608575, v2: 1.717432, M1: 0.472855, M2: 0.015374
