Speed: 0.082344, angle1: -0.117900, angle2: -0.117387, v1: -0.883742, v2: 1.837416, M1: 0.041815, M2: -0.018458
Speed: 0.083004, angle1: -0.117900, angle2: -0.096969, v1: -0.895897, v2: 2.041748, M1: 0.013310, M2: 0.034595
Speed: 0.083769, angle1: -0.117900, angle2: -0.075549, v1: -0.896209, v2: 2.141993, M1: 0.004565, M2: 0.009664
Speed: 0.084564, angle1: -0.117900, angle2: -0.055452, v1: -0.863193, v2: 2.009700, M1: 0.000000, M2: -0.049126
Speed: 0.085237, angle1: -0.117900, angle2: -0.035628, v1: -0.845431, v2: 1.982432, M1: 0.004663, M2: -0.021282
Speed: 0.085902, angle1: -0.117900, angle2: -0.014297, v1: -0.854558, v2: 2.133099, M1: 0.014976, M2: 0.027028
Speed: 0.086552, angle1: -0.117900, angle2: 0.007582, v1: -0.848788, v2: 2.187889, M1: 0.038348, M2: 0.008078
Speed: 0.087042, angle1: -0.117900, angle2: 0.028133, v1: -0.814079, v2: 2.055077, M1: 0.052721, M2: -0.036566
Speed: 0.087373, angle1: -0.117900, angle2: 0.047855, v1: -0.781013, v2: 1.972277, M1: 0.116541, M2: -0.013784
Speed: 0.087793, angle1: -0.117900, angle2: 0.068646, v1: -0.774354, v2: 2.079055, M1: 0.152320, M2: 0.041328
Speed: 0.088169, angle1: -0.117900, angle2: 0.090112, v1: -0.760617, v2: 2.146566, M1: 0.184371, M2: 0.038342
Speed: 0.088142, angle1: -0.117900, angle2: 0.109836, v1: -0.707803, v2: 1.972442, M1: 0.222585, M2: -0.016235
Speed: 0.087722, angle1: -0.117900, angle2: 0.127477, v1: -0.635017, v2: 1.764147, M1: 0.385428, M2: 0.000321
Speed: 0.087640, angle1: -0.117900, angle2: 0.146086, v1: -0.601742, v2: 1.860861, M1: 0.472855, M2: 0.093374
Speed: 0.087895, angle1: -0.117900, angle2: 0.166986, v1: -0.591755, v2: 2.089988, M1: 0.462491, M2: 0.128437
Speed: 0.086654, angle1: -0.117900, angle2: 0.184108, v1: -0.471038, v2: 1.712248, M1: 0.671047, M2: 0.004898
Speed: 0.085221, angle1: -0.117900, angle2: 0.198153, v1: -0.351171, v2: 1.404498, M1: 0.781030, M2: 0.039785
Speed: 0.084808, angle1: -0.117900, angle2: 0.214110, v1: -0.296884, v2: 1.595626, M1: 0.897702, M2: 0.187394
Speed: 0.084603, angle1: -0.117900, angle2: 0.232724, v1: -0.246352, v2: 1.861423, M1: 0.988602, M2: 0.221963
Speed: 0.082480, angle1: -0.117900, angle2: 0.247068, v1: -0.085177, v2: 1.434457, M1: 1.083968, M2: 0.059689
Speed: 0.079735, angle1: -0.116829, angle2: 0.256126, v1: 0.107113, v2: 0.905739, M1: 1.283126, M2: 0.065522
Speed: 0.079208, angle1: -0.114885, angle2: 0.267247, v1: 0.194341, v2: 1.112126, M1: 1.395279, M2: 0.279287
Speed: 0.079890, angle1: -0.112491, angle2: 0.283075, v1: 0.239448, v2: 1.582783, M1: 1.498147, M2: 0.377849
Speed: 0.077879, angle1: -0.108223, angle2: 0.293591, v1: 0.426753, v2: 1.051570, M1: 1.596948, M2: 0.150035
Speed: 0.075597, angle1: -0.101893, angle2: 0.297425, v1: 0.633079, v2: 0.383456, M1: 1.656961, M2: 0.129721
Speed: 0.076930, angle1: -0.094964, angle2: 0.304042, v1: 0.692900, v2: 0.661659, M1: 1.675808, M2: 0.388918
Speed: 0.079931, angle1: -0.088003, angle2: 0.315839, v1: 0.696112, v2: 1.179771, M1: 1.679893, M2: 0.477765
Speed: 0.080125, angle1: -0.079621, angle2: 0.322035, v1: 0.838146, v2: 0.619522, M1: 1.692590, M2: 0.221799
Speed: 0.079913, angle1: -0.069567, angle2: 0.320876, v1: 1.005405, v2: -0.115888, M1: 1.672043, M2: 0.169775
Speed: 0.083537, angle1: -0.059397, angle2: 0.322602, v1: 1.017006, v2: 0.172574, M1: 1.600904, M2: 0.427083
Speed: 0.089032, angle1: -0.049890, angle2: 0.330736, v1: 0.950717, v2: 0.813460, M1: 1.506776, M2: 0.527099
Speed: 0.090462, angle1: -0.039207, angle2: 0.331385, v1: 1.068243, v2: 0.064920, M1: 1.460851, M2: 0.172002
Speed: 0.091671, angle1: -0.027256, angle2: 0.324600, v1: 1.195147, v2: -0.678545, M1: 1.382497, M2: 0.140112
Speed: 0.096677, angle1: -0.015704, angle2: 0.321983, v1: 1.155179, v2: -0.261656, M1: 1.301799, M2: 0.423379
Speed: 0.102285, angle1: -0.004897, angle2: 0.324529, v1: 1.080700, v2: 0.254565, M1: 1.227121, M2: 0.454222
Speed: 0.104368, angle1: 0.006783, angle2: 0.320208, v1: 1.168036, v2: -0.432086, M1: 1.157026, M2: 0.134035
Speed: 0.106152, angle1: 0.019391, angle2: 0.309125, v1: 1.260804, v2: -1.108342, M1: 1.019364, M2: 0.092577
Speed: 0.110603, angle1: 0.031540, angle2: 0.301053, v1: 1.214869, v2: -0.807201, M1: 0.919437, M2: 0.321215
Speed: 0.115640, angle1: 0.042667, angle2: 0.298608, v1: 1.112664, v2: -0.244466, M1: 0.792958, M2: 0.378551
