Speed: 0.132639, angle1: 0.117900, angle2: 0.059727, v1: 0.809278, v2: -1.668299, M1: 0.000000, M2: 0.004343
Speed: 0.132936, angle1: 0.117900, angle2: 0.035085, v1: 0.914844, v2: -2.464206, M1: -0.003665, M2: -0.188607
Speed: 0.133472, angle1: 0.117900, angle2: 0.010166, v1: 0.908564, v2: -2.491903, M1: -0.018224, M2: 0.000309
Speed: 0.133514, angle1: 0.117900, angle2: -0.007380, v1: 0.784833, v2: -1.754579, M1: -0.026869, M2: 0.194921
Speed: 0.133447, angle1: 0.117900, angle2: -0.023946, v1: 0.749737, v2: -1.656669, M1: -0.077785, M2: 0.026899
Speed: 0.134077, angle1: 0.117900, angle2: -0.048173, v1: 0.845596, v2: -2.422684, M1: -0.101522, M2: -0.199803
Speed: 0.134285, angle1: 0.117900, angle2: -0.072601, v1: 0.826426, v2: -2.442802, M1: -0.173866, M2: -0.025563
Speed: 0.133506, angle1: 0.117900, angle2: -0.090131, v1: 0.701902, v2: -1.752986, M1: -0.146817, M2: 0.159919
Speed: 0.132779, angle1: 0.117900, angle2: -0.105449, v1: 0.631738, v2: -1.531790, M1: -0.306252, M2: 0.017732
Speed: 0.133404, angle1: 0.117900, angle2: -0.127671, v1: 0.695656, v2: -2.222236, M1: -0.376290, M2: -0.228926
Speed: 0.133144, angle1: 0.117900, angle2: -0.150439, v1: 0.657839, v2: -2.276775, M1: -0.472855, M2: -0.085155
Speed: 0.131328, angle1: 0.117900, angle2: -0.166599, v1: 0.509547, v2: -1.616025, M1: -0.496159, M2: 0.094913
Speed: 0.129749, angle1: 0.117900, angle2: -0.179795, v1: 0.400447, v2: -1.319534, M1: -0.671047, M2: -0.025238
Speed: 0.130061, angle1: 0.117900, angle2: -0.198736, v1: 0.417127, v2: -1.894126, M1: -0.757884, M2: -0.265264
Speed: 0.129330, angle1: 0.117900, angle2: -0.218758, v1: 0.353071, v2: -2.002227, M1: -0.866873, M2: -0.162031
Speed: 0.126399, angle1: 0.117900, angle2: -0.232172, v1: 0.162302, v2: -1.341374, M1: -0.988528, M2: 0.018084
Speed: 0.124005, angle1: 0.117900, angle2: -0.242220, v1: 0.009018, v2: -1.004818, M1: -1.127407, M2: -0.087872
Speed: 0.123893, angle1: 0.117566, angle2: -0.256936, v1: -0.033439, v2: -1.471651, M1: -1.282261, M2: -0.325001
Speed: 0.122741, angle1: 0.116126, angle2: -0.271945, v1: -0.144000, v2: -1.500896, M1: -1.414691, M2: -0.242773
Speed: 0.120209, angle1: 0.112840, angle2: -0.282061, v1: -0.328538, v2: -1.011603, M1: -1.487374, M2: -0.129820
Speed: 0.118533, angle1: 0.108028, angle2: -0.289364, v1: -0.481266, v2: -0.730250, M1: -1.561222, M2: -0.202999
Speed: 0.118968, angle1: 0.102487, angle2: -0.298898, v1: -0.554095, v2: -0.953445, M1: -1.636600, M2: -0.359551
Speed: 0.119194, angle1: 0.095948, angle2: -0.307913, v1: -0.653885, v2: -0.901482, M1: -1.688282, M2: -0.316834
Speed: 0.119829, angle1: 0.088554, angle2: -0.315377, v1: -0.739362, v2: -0.746376, M1: -1.524849, M2: -0.281585
Speed: 0.120031, angle1: 0.079940, angle2: -0.319013, v1: -0.861367, v2: -0.363576, M1: -1.635623, M2: -0.246549
Speed: 0.121802, angle1: 0.070653, angle2: -0.322182, v1: -0.928750, v2: -0.316907, M1: -1.636917, M2: -0.340971
Speed: 0.124971, angle1: 0.061319, angle2: -0.327098, v1: -0.933411, v2: -0.491581, M1: -1.430748, M2: -0.381511
Speed: 0.126601, angle1: 0.051100, angle2: -0.328246, v1: -1.021898, v2: -0.114795, M1: -1.543358, M2: -0.261844
Speed: 0.129102, angle1: 0.040290, angle2: -0.327631, v1: -1.080950, v2: 0.061412, M1: -1.522285, M2: -0.309220
Speed: 0.132562, angle1: 0.029335, angle2: -0.327261, v1: -1.095535, v2: 0.037023, M1: -1.388750, M2: -0.345601
Speed: 0.136219, angle1: 0.018593, angle2: -0.327116, v1: -1.074173, v2: 0.014490, M1: -1.035537, M2: -0.296693
Speed: 0.138776, angle1: 0.007748, angle2: -0.324225, v1: -1.084501, v2: 0.289125, M1: -0.851526, M2: -0.184275
Speed: 0.140265, angle1: -0.004077, angle2: -0.315857, v1: -1.182508, v2: 0.836760, M1: -1.216901, M2: -0.149601
Speed: 0.144096, angle1: -0.015729, angle2: -0.309644, v1: -1.165181, v2: 0.621383, M1: -1.107162, M2: -0.328164
Speed: 0.147770, angle1: -0.027151, angle2: -0.304806, v1: -1.142234, v2: 0.483723, M1: -0.996353, M2: -0.298771
Speed: 0.150233, angle1: -0.038777, angle2: -0.297314, v1: -1.162588, v2: 0.749244, M1: -0.835912, M2: -0.168902
Speed: 0.152217, angle1: -0.050765, angle2: -0.286176, v1: -1.198844, v2: 1.113835, M1: -0.744065, M2: -0.117276
Speed: 0.154848, angle1: -0.062599, angle2: -0.274844, v1: -1.183405, v2: 1.133148, M1: -0.628800, M2: -0.180150
Speed: 0.157566, angle1: -0.073662, angle2: -0.265696, v1: -1.106223, v2: 0.914796, M1: -0.307804, M2: -0.191080
Speed: 0.158751, angle1: -0.084908, angle2: -0.252854, v1: -1.124659, v2: 1.284228, M1: -0.351912, M2: -0.036363
Speed: 0.159770, angle1: -0.096237, angle2: -0.236972, v1: -1.132934, v2: 1.588143, M1: -0.217231, M2: -0.019740
Speed: 0.161273, angle1: -0.106925, angle2: -0.222633, v1: -1.068756, v2: 1.433964, M1: -0.069039, M2: -0.107409
Speed: 0.162158, angle1: -0.117000, angle2: -0.208965, v1: -1.007469, v2: 1.366734, M1: 0.071777, M2: -0.059116
Speed: 0.162144, angle1: -0.117900, angle2: -0.192578, v1: -0.991546, v2: 1.638730, M1: 0.192462, M2: 0.055266
Speed: 0.161994, angle1: -0.117900, angle2: -0.172662, v1: -1.000630, v2: 1.991601, M1: 0.160217, M2: 0.082547
Speed: 0.162393, angle1: -0.117900, angle2: -0.153753, v1: -0.953442, v2: 1.890957, M1: 0.112832, M2: -0.034851
Speed: 0.162758, angle1: -0.117900, angle2: -0.136796, v1: -0.897194, v2: 1.695653, M1: 0.070929, M2: -0.063653
Speed: 0.162740, angle1: -0.117900, angle2: -0.117991, v1: -0.901296, v2: 1.880478, M1: 0.042897, M2: 0.031743
Speed: 0.162736, angle1: -0.117900, angle2: -0.095953, v1: -0.932187, v2: 2.203785, M1: 0.017725, M2: 0.067472
Speed: 0.163009, angle1: -0.117900, angle2: -0.075027, v1: -0.901868, v2: 2.092684, M1: 0.004808, M2: -0.043135
Speed: 0.163165, angle1: -0.117900, angle2: -0.056242, v1: -0.855889, v2: 1.878472, M1: 0.000000, M2: -0.070367
Speed: 0.163190, angle1: -0.117900, angle2: -0.036238, v1: -0.859711, v2: 2.000389, M1: 0.004886, M2: 0.016433
Speed: 0.163299, angle1: -0.117900, angle2: -0.013471, v1: -0.887882, v2: 2.276670, M1: 0.015640, M2: 0.059781
Speed: 0.163315, angle1: -0.117900, angle2: 0.008121, v1: -0.855959, v2: 2.159207, M1: 0.042098, M2: -0.034648
Speed: 0.163072, angle1: -0.117900, angle2: 0.027329, v1: -0.802301, v2: 1.920775, M1: 0.074084, M2: -0.060732
Speed: 0.162874, angle1: -0.117900, angle2: 0.047220, v1: -0.790727, v2: 1.989152, M1: 0.119388, M2: 0.024623
Speed: 0.162921, angle1: -0.117900, angle2: 0.069752, v1: -0.810671, v2: 2.253177, M1: 0.121232, M2: 0.077194
Speed: 0.162414, angle1: -0.117900, angle2: 0.090502, v1: -0.756392, v2: 2.075032, M1: 0.217773, M2: -0.018842
Speed: 0.161479, angle1: -0.117900, angle2: 0.108364, v1: -0.677855, v2: 1.786170, M1: 0.299479, M2: -0.034379
Speed: 0.160848, angle1: -0.117900, angle2: 0.126827, v1: -0.645021, v2: 1.846310, M1: 0.385428, M2: 0.068966
Speed: 0.160730, angle1: -0.117900, angle2: 0.148368, v1: -0.652934, v2: 2.154058, M1: 0.378009, M2: 0.134220
Speed: 0.159335, angle1: -0.117900, angle2: 0.167010, v1: -0.554820, v2: 1.864257, M1: 0.558630, M2: 0.010082
Speed: 0.157399, angle1: -0.117900, angle2: 0.181820, v1: -0.432544, v2: 1.480977, M1: 0.671047, M2: 0.003362
Speed: 0.156373, angle1: -0.117900, angle2: 0.197813, v1: -0.377223, v2: 1.599338, M1: 0.781030, M2: 0.150620
Speed: 0.155830, angle1: -0.117900, angle2: 0.216999, v1: -0.344670, v2: 1.918564, M1: 0.871017, M2: 0.217384
Speed: 0.153678, angle1: -0.117900, angle2: 0.233258, v1: -0.211868, v2: 1.625899, M1: 0.960332, M2: 0.073313
Speed: 0.150400, angle1: -0.117900, angle2: 0.243755, v1: -0.020284, v2: 1.049726, M1: 1.149246, M2: 0.029342
Speed: 0.148999, angle1: -0.117164, angle2: 0.255303, v1: 0.073644, v2: 1.154796, M1: 1.235974, M2: 0.222669
Speed: 0.148801, angle1: -0.115952, angle2: 0.271244, v1: 0.121155, v2: 1.594078, M1: 1.360098, M2: 0.337551
Speed: 0.146489, angle1: -0.113080, angle2: 0.283741, v1: 0.287244, v2: 1.249753, M1: 1.507058, M2: 0.169729
Speed: 0.143339, angle1: -0.108101, angle2: 0.289662, v1: 0.497841, v2: 0.592070, M1: 1.572518, M2: 0.106021
Speed: 0.143146, angle1: -0.102240, angle2: 0.296884, v1: 0.586156, v2: 0.722213, M1: 1.598114, M2: 0.323685
Speed: 0.144849, angle1: -0.096176, angle2: 0.308893, v1: 0.606383, v2: 1.200859, M1: 1.615309, M2: 0.438474
Speed: 0.144333, angle1: -0.088757, angle2: 0.316768, v1: 0.741827, v2: 0.787541, M1: 1.657143, M2: 0.235058
Speed: 0.143191, angle1: -0.079635, angle2: 0.317688, v1: 0.912283, v2: 0.092019, M1: 1.631770, M2: 0.160875
Speed: 0.145212, angle1: -0.069997, angle2: 0.319932, v1: 0.963783, v2: 0.224328, M1: 1.670865, M2: 0.384930
Speed: 0.151239, angle1: -0.062147, angle2: 0.331957, v1: 0.785017, v2: 1.202496, M1: 0.727379, M2: 0.488528
Speed: 0.149397, angle1: -0.051995, angle2: 0.331130, v1: 1.015147, v2: -0.082640, M1: 1.615393, M2: 0.031411
Speed: 0.149281, angle1: -0.040238, angle2: 0.323009, v1: 1.175671, v2: -0.812090, M1: 1.540146, M2: 0.143370
Speed: 0.154802, angle1: -0.029333, angle2: 0.323421, v1: 1.090565, v2: 0.041205, M1: 1.386185, M2: 0.538889
Speed: 0.160255, angle1: -0.019243, angle2: 0.330394, v1: 1.008939, v2: 0.697219, M1: 1.381085, M2: 0.515919
Speed: 0.160122, angle1: -0.007425, angle2: 0.325234, v1: 1.181890, v2: -0.515963, M1: 1.304750, M2: 0.023289
Speed: 0.160958, angle1: 0.005680, angle2: 0.312354, v1: 1.310441, v2: -1.288045, M1: 1.210103, M2: 0.091245
Speed: 0.166428, angle1: 0.017721, angle2: 0.307189, v1: 1.204065, v2: -0.516476, M1: 1.011785, M2: 0.460466
Speed: 0.171764, angle1: 0.028533, angle2: 0.309218, v1: 1.081211, v2: 0.202894, M1: 0.935818, M2: 0.454944
Speed: 0.171907, angle1: 0.040719, angle2: 0.299713, v1: 1.218604, v2: -0.950442, M1: 0.856113, M2: -0.045512
Speed: 0.172575, angle1: 0.053930, angle2: 0.282293, v1: 1.321099, v2: -1.742024, M1: 0.719153, M2: -0.006208
Speed: 0.176786, angle1: 0.065946, angle2: 0.271976, v1: 1.201626, v2: -1.031729, M1: 0.557318, M2: 0.351711
Speed: 0.180561, angle1: 0.076516, angle2: 0.268862, v1: 1.057051, v2: -0.311398, M1: 0.419989, M2: 0.344909
Speed: 0.180266, angle1: 0.088041, angle2: 0.255678, v1: 1.152472, v2: -1.318349, M1: 0.297228, M2: -0.126198
Speed: 0.180105, angle1: 0.100320, angle2: 0.234689, v1: 1.227850, v2: -2.098950, M1: 0.154181, M2: -0.117969
Speed: 0.182212, angle1: 0.111255, angle2: 0.219958, v1: 1.093576, v2: -1.473090, M1: -0.016241, M2: 0.210430
Speed: 0.183616, angle1: 0.117900, angle2: 0.211945, v1: 0.934038, v2: -0.801254, M1: -0.166716, M2: 0.202700
