Speed: 0.094140, angle1: 0.075223, angle2: 0.056533, v1: 0.890987, v2: -2.030536, M1: 0.014375, M2: -0.017183
Speed: 0.094947, angle1: 0.080333, angle2: 0.036002, v1: 0.851615, v2: -2.053135, M1: -0.077050, M2: -0.031483
Speed: 0.095537, angle1: 0.085183, angle2: 0.015299, v1: 0.808251, v2: -2.070337, M1: -0.169182, M2: -0.045514
Speed: 0.095896, angle1: 0.089742, angle2: -0.005472, v1: 0.759864, v2: -2.077054, M1: -0.261593, M2: -0.057868
Speed: 0.096010, angle1: 0.093978, angle2: -0.026202, v1: 0.706046, v2: -2.072959, M1: -0.353737, M2: -0.069655
Speed: 0.095871, angle1: 0.097863, angle2: -0.046841, v1: 0.647419, v2: -2.063940, M1: -0.445006, M2: -0.082134
Speed: 0.095473, angle1: 0.101363, angle2: -0.067333, v1: 0.583437, v2: -2.049248, M1: -0.534837, M2: -0.093629
Speed: 0.094804, angle1: 0.104439, angle2: -0.087570, v1: 0.512709, v2: -2.023699, M1: -0.622596, M2: -0.102857
Speed: 0.093857, angle1: 0.107049, angle2: -0.107460, v1: 0.434928, v2: -1.988965, M1: -0.707492, M2: -0.111167
Speed: 0.092641, angle1: 0.109151, angle2: -0.126916, v1: 0.350354, v2: -1.945637, M1: -0.788688, M2: -0.119125
Speed: 0.091187, angle1: 0.110711, angle2: -0.145817, v1: 0.259895, v2: -1.890055, M1: -0.865355, M2: -0.127072
Speed: 0.089558, angle1: 0.111706, angle2: -0.164086, v1: 0.165974, v2: -1.826905, M1: -0.936740, M2: -0.137264
Speed: 0.087837, angle1: 0.112132, angle2: -0.181690, v1: 0.070861, v2: -1.760359, M1: -1.002319, M2: -0.149717
Speed: 0.086098, angle1: 0.111985, angle2: -0.198558, v1: -0.024397, v2: -1.686857, M1: -1.061778, M2: -0.162472
Speed: 0.084417, angle1: 0.111272, angle2: -0.214594, v1: -0.118833, v2: -1.603528, M1: -1.114896, M2: -0.175485
